Date,Open,High,Low,Close,Adj Close,Volume
2017-01-12,101.709999,102.519997,101.580002,101.839996,90.486237,3126000
2017-01-13,101.879997,102.110001,101.220001,101.550003,90.228600,3478600
2017-01-17,101.070000,102.320000,101.059998,102.190002,90.797226,3745800
2017-01-18,102.400002,103.000000,102.320000,102.739998,91.285889,4340400
2017-01-19,102.279999,103.000000,102.169998,102.360001,90.948273,3923100
2017-01-20,102.790001,103.320000,102.440002,103.239998,91.730164,4750800
2017-01-23,102.900002,104.220001,102.830002,104.010002,92.414314,4584800
2017-01-24,104.000000,104.930000,103.779999,104.709999,93.036285,4992300
2017-01-25,104.709999,105.190002,104.540001,104.610001,92.947418,3566100
2017-01-26,104.510002,104.730003,104.070000,104.139999,92.529831,3634600
2017-01-27,104.379997,104.410004,103.430000,103.480003,91.943413,4248200
2017-01-30,103.010002,103.720001,103.000000,103.690002,92.129990,3462600
2017-01-31,103.209999,104.169998,103.209999,103.779999,92.209953,3846600
2017-02-01,103.610001,103.779999,102.980003,103.010002,91.525803,3515600
2017-02-02,103.760002,104.389999,103.290001,104.029999,92.432091,3213700
2017-02-03,104.440002,105.769997,104.059998,105.110001,93.391685,4287100
2017-02-06,105.099998,105.239998,104.529999,104.570000,92.911880,4355200
2017-02-07,104.629997,105.900002,104.629997,105.610001,93.835945,3980400
2017-02-08,105.500000,106.230003,105.250000,105.690002,93.907028,3407100
2017-02-09,105.690002,106.489998,105.019997,105.970001,94.155807,4012400
2017-02-10,105.830002,106.349998,105.589996,106.099998,94.271324,2475500
2017-02-13,106.500000,106.690002,105.879997,106.519997,94.644478,3463700
2017-02-14,106.169998,107.000000,105.669998,106.919998,94.999886,5665000
2017-02-15,105.349998,107.250000,104.769997,106.730003,94.831078,7617200
2017-02-16,107.150002,108.180000,106.320000,108.120003,96.066124,5559900
2017-02-17,107.290001,108.300003,107.209999,108.150002,96.092758,5498400
2017-02-21,108.070000,109.500000,107.949997,109.360001,97.167854,5370700
2017-02-22,109.370003,109.779999,109.169998,109.410004,97.212296,3815300
2017-02-23,109.120003,110.000000,109.120003,109.540001,97.327805,3382700
2017-02-24,109.500000,109.919998,109.330002,109.830002,97.585464,3991800
2017-02-27,109.690002,109.879997,109.230003,109.269997,97.087891,3475100
2017-02-28,109.050003,110.599998,109.050003,110.379997,98.074135,4684700
2017-03-01,109.599998,110.320000,109.169998,109.730003,98.166290,4750700
2017-03-02,109.809998,110.320000,109.430000,110.110001,98.506241,3880800
2017-03-03,110.099998,110.669998,109.650002,110.559998,98.908806,4111300
2017-03-06,109.800003,110.190002,109.430000,109.629997,98.076828,4491000
2017-03-07,109.160004,109.769997,109.000000,109.320000,97.799500,4361100
2017-03-08,109.169998,109.330002,108.470001,109.300003,97.781616,5244500
2017-03-09,109.599998,109.610001,108.910004,109.019997,97.531128,4066900
2017-03-10,109.580002,109.709999,109.279999,109.589996,98.041039,3488900
2017-03-13,109.320000,109.800003,109.029999,109.410004,97.880020,3131200
2017-03-14,109.279999,109.730003,109.120003,109.339996,97.817406,3630000
2017-03-15,109.559998,111.230003,109.500000,111.110001,99.400856,4973400
2017-03-16,111.089996,111.199997,110.529999,111.139999,99.427704,4580700
2017-03-17,111.480003,111.519997,110.930000,111.389999,99.651360,6444400
